Issue_id,Priority,Component,Duplicated_issue,Title,Description,Status,Resolution,Version,Created_time,Resolved_time
241731,P5,Bookmarks & History,,bookmarks sidebar creates empty contextmenu when no items are selected,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8a) Gecko/20040422 Firefox/0.8.0+; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.8a) Gecko/20040422 Firefox/0.8.0+; ;      ; ; Reproducible: Always; Steps to Reproduce:; 1.Ctrl + B.; 2.the caret should be focus on the search textbox rather than the items of; bookmarks.; 3.right click on the empty area of the bookmarks tree view.; Actual Results:  ; empty contextmenu is created.,RESOLVED,FIXED,unspecified,2004-04-26 04:23:40 -0700,2009-08-26 02:08:28 -0700
243752,P5,Keyboard Navigation,,No keyboard shortcut for closing in the sidebar bookmarks sidebars,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8a) Gecko/20040416 Firefox/0.8; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8a) Gecko/20040416 Firefox/0.8; ; Currently; the only way to close a non-bundled sidebar (e.g.; bugzilla/Blogupdates) is via the sidebar close button. We need to implement a; keyboard shortcut for it.; ; ; Reproducible: Always; Steps to Reproduce:,RESOLVED,FIXED,2.0 Branch,2004-05-16 11:09:42 -0700,2006-07-13 04:06:27 -0700
245685,P5,Search,250231.0,find-in-page accel should use search box; find-as-you-type,I find myself using Firefox most of the time now; only going back to IE for a; few pages.. but I must say; that Find in Page dialog? thats the worst thing; Ive ever seen. Absolute worst thing ever.; ; -- Random influential user.; ; Suggestion:; ; 18:43 <shaver> the find-in-page accelerator should highlight the search box;;                select the find-in-page mode; and start type-ahead as you go; ; Issues:; ;  - there are other options in the current find dialog; some of which we might ;    want to preserve.  I think the only one that I care about is direction.  We;    could imitate emacs-isearchs case behaviour; too (ignore case unless a ;    capital letter is entered; and then become case-sensitive).; ;  - should the search box revert to the previous search setting when the search;    is over?  I think so; or at least the ctrl-J accel should put it back.  (I;    dont know anyone who uses the search box for find-in-page; and dont think;    I care to meet them!); ;  - whats the equivalent of dismissing the dialog in this new world?  I like;    hitting enter; but there might be other things.  Well have to give up;    the key-grab; etc.,VERIFIED,DUPLICATE,unspecified,2004-06-05 15:59:27 -0700,2005-04-24 07:45:47 -0700
248021,P5,Menus,,Incorrect ordering for tab and window menu items on the File menu,The File menu currently looks like this:; ; New Window; New Tab; Open File...; Close Tab; Close Window; -----------; Save Page As...; Send Page...; -----------; Page Setup...; Print; -----------; Import...; Work Offline; ; Notice how the Window and Tab order isnt consistent? It should be this:; ; New Window; New Tab; Open File...; Close Window; Close Tab; -----------; Save Page As...; Send Page...; -----------; Page Setup...; Print; -----------; Import...; Work Offline; ; This is inconsistent with every other tab-capable browser Ive checked.,VERIFIED,FIXED,unspecified,2004-06-21 15:22:00 -0700,2006-11-07 02:39:03 -0800
248330,P5,Toolbars and Customization,,In full screen buttons at top are not on edge of screen,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7) Gecko/20040614 Firefox/0.9; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7) Gecko/20040614 Firefox/0.9; ; When Firefox is in full screen; none of the buttons on the toolbar are clickable; at the very top of the screen. Fitts Law states that the edge of screens are; easier to click.; ; Reproducible: Always; Steps to Reproduce:; 1. Set Firefox to Full Screen; 2. Put mouse cursor at very top of screen; 3. try to click any button; ; Actual Results:  ; Desired button was not clicked.; ; Expected Results:  ; Button should be clicked.,RESOLVED,FIXED,Trunk,2004-06-23 08:24:15 -0700,2006-10-23 07:02:24 -0700
248883,P5,Disability Access,,automatically scroll like Adobe Acrobat readers,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7) Gecko/20040614 Firefox/0.8; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7) Gecko/20040614 Firefox/0.9; ; Adobe Acrobat Reader 6 has an Automatic Scroll facility (view menu) which is a; really handy accessibility option for those who have disabilities.  RFE to add; this facility to Firefox.; ; Reproducible: Always; Steps to Reproduce:,RESOLVED,WONTFIX,unspecified,2004-06-28 04:01:17 -0700,2006-06-29 21:05:45 -0700
250058,P5,Menus,,Accesskeys for the submenu of View; Sidebar are active; however not underlined.,Click on view; and go to Sidebar (or press Alt+V+E). Notice how the two items;; Bookmarks and History have no accesskeys underlined (as do the rest of the; menus). However; pressing B (or Alt+V+E+B) or H (or Alt+V+E+H) will activate the; respective menu item. So the accesskey is active; but not visible.,RESOLVED,FIXED,unspecified,2004-07-06 12:02:28 -0700,2006-11-07 02:19:09 -0800
251730,P5,Installer,,redundancy in the wording in the first panel of installer,In the first screen of the Windows Firefox installer says; ...Click Next to; continue the Setup program. at the end of the third paragraph. It then very; nearly repeats this exact text in the next paragraph when it says Click Next to; continue installing Mozilla Firefox 0.9.0.  ; ; This redundancy seems a bit; well; redundant.,RESOLVED,WORKSFORME,Trunk,2004-07-16 08:44:23 -0700,2006-06-23 00:56:56 -0700
251842,P5,Bookmarks & History,,Use caching info from feed (ttl; skiphours; skipdays; updateBase; updateFrequency) for live bookmark expiration,Livemarks currently dont use the existing scheduling and notification; mechanism; we should use it; and set the default schedule based on the TTL of; the feed.,RESOLVED,WONTFIX,Trunk,2004-07-16 23:24:27 -0700,2013-02-12 04:17:20 -0800
254648,P5,Keyboard Navigation,,shortcut to jump mouse pointer to current position (focus/caret),User-Agent:       Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.8a3) Gecko/20040804 Firefox/0.9.1+; Build Identifier: Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; en-US; rv:1.8a3) Gecko/20040804 Firefox/0.9.1+; ; I have my system set up in such a way that I use the keyboard for nearly; everything.  I use the numeric keypad to move the mouse around; and discovered; caret mode (F7) mode today.  Its great to be able to use the arrow keys to move; around the text in the page and select links and text in this way.; ; One thing I have problems with is clicking buttons.  While I can move the caret; onto the button; I cant click on it easily; and end up having to move the mouse; anyway.  If I had another shortcut (control-f7 or the like) to jump the mouse; pointer to the caret; I could then move the mouse slightly if necessary using; the keypad and then click on the button. This would help my navigation; significantly.; ; Thanks for a great product with great features.; ; Reproducible: Always; Steps to Reproduce:; 1. Hit F7; 2. Move the caret around using the arrow keys; 3. Oops!  Gotta move the mouse to click on a button.; ; Actual Results:  ; Extra mouse movement required.; ; Expected Results:  ; Offer a shortcut to jump the pointer to the current caret location.,RESOLVED,WONTFIX,unspecified,2004-08-06 16:00:57 -0700,2006-06-29 20:51:00 -0700
254903,P5,Disability Access,257405.0,ctrl+b should trigger bookmarks even from text areas,Ctrl+B doesnt work reliably. It appears you have to focus the content; area first.,VERIFIED,DUPLICATE,unspecified,2004-08-09 07:20:39 -0700,2006-03-12 17:50:53 -0800
256052,P5,Migration,,Use Smooth Scrolling pref isnt migrated,Steps to Reproduce:; ; 1. Import settings from Internet Explorer.; 2. Try to scroll.; ; Should smooth scroll; but it doesnt. IE has a Use smooth scroll preference; too in Advanced; its on by default.,RESOLVED,WORKSFORME,unspecified,2004-08-18 13:36:18 -0700,2012-04-18 14:56:44 -0700
260306,P5,Bookmarks & History,,live bookmarks pick up favicon only after visiting an item,User-Agent:       Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; rv:1.7.3) Gecko/20040913 Firefox/0.10; Build Identifier: Mozilla/5.0 (Macintosh; U; PPC Mac OS X Mach-O; rv:1.7.3) Gecko/20040913 Firefox/0.10; ; I have slashdot bookmarks as an rss feed. When I look at the headlines of the; feed they all have the generic firefox placeholder bookmark. Only after I have; visited a link of the feed is the icon changed to the sites icon.; This bug is not limited only to slashdots rss feed.; ; Reproducible: Always; Steps to Reproduce:; 1.visit http://www.slashdot.org; 2.add slashdots rss feed as a bookmark; 3.open slashdots rss feed bookmarks and look at their icons; they will all have; the generic icon.; 4. visit a link from the feed; then check the rss bookmarks again;  the slashdot; site icon will appear only next to the feed you just visited; ; Actual Results:  ;  the site icon only appears for the rss link that was visited; not any of the others; ; Expected Results:  ; The site icon should appear for all of the rss links.,RESOLVED,WONTFIX,Trunk,2004-09-18 19:49:40 -0700,2012-02-25 02:37:53 -0800
264204,P5,Keyboard Navigation,340902.0,[Linux] ALT-digit tab-selection shortcuts conflict with accesskey assignments,On Linux; the keyboard shortcut for selecting a tab based on its ordinal number; has been changed from CTRL-digit to ALT-digit; in accordance with bug #256635.; ; Unfortunately; these shortcuts conflict with web pages that use accesskey; attributes; since ALT is also the keyboard modifier for such page-specific; shortcuts. ; ; How to reproduce:; 1) Open a new Firefox window.; 2) In the first tab; open <http://www.mozilla.org/>.; 3) In a second tab; open <http://diveintomark.org/about/accessibility/>.; 4) In the same second tab; press ALT-1.; ; Expected behavior: Firefox should jump to <http://diveintomark.org/>; in the; same tab.; Actual behavior: Firefox switches to the first tab; showing www.mozilla.org.; ; See <http://www.w3.org/TR/html401/interact/forms.html#adef-accesskey> for more; information about the accesskey attribute.,RESOLVED,DUPLICATE,unspecified,2004-10-13 09:58:12 -0700,2006-12-13 12:14:21 -0800
264983,P5,Bookmarks & History,,<tabbox> and tabs have no ID for use by overlays,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.3) Gecko/20041016 Firefox/1.0; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.3) Gecko/20041016 Firefox/1.0; ; Without an excessive amount of javascript+DOM magic; overlays need elements with; IDs to bind to. However; the bookmark properties dialogs <tabbox> and; <tabpanels> elements have no ID for extensions to bind to; in order to enhance; the bookmark properties dialog.; ; Reproducible: Always; Steps to Reproduce:; 1.; 2.; 3.; ; ; ; ; Strangely enough; there are two tabs with IDs; ScheduleTab and NotifyTab;; that dont seem to actually exist in FF.,VERIFIED,FIXED,Trunk,2004-10-18 16:46:28 -0700,2006-08-27 05:03:25 -0700
267780,P5,Location Bar,240397.0,Location bar autocomplete should show site root above each domains URLs,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.0; rv:1.7.3) Gecko/20041001 Firefox/0.10.1; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.0; rv:1.7.3) Gecko/20041001 Firefox/0.10.1; ; Quite oftern I go to type in a domain; and the only URLs that appear in the; history have a long path when all I really want is the domain. Or the domain; appears way down the list.; One example of how this can happen is if you get linked to articals on a site; more oftern than you visit the homepage.; ; Reproducible: Always; Steps to Reproduce:; 1. Start typing the domain of a frequenty visited site to which you dont visit; the homepage/root that oftern.; Actual Results:  ; Many URLs for the domain appear; but they all have paths after the domain. E.G:; ; http://www.mozilla.org/products/firefox/; http://www.mozilla.org/developer/; ftp://ftp.mozilla.org/pub/mozilla.org/thunderbird/release/0.9/; http://www.mozilla.org/products/thunderbird/; ; Expected Results:  ; The site root should always appear first in the list; even if it has never been; visited. E.G:; ; http://www.mozilla.org; http://www.mozilla.org/products/firefox/; http://www.mozilla.org/developer/; ftp://ftp.mozilla.org/pub/mozilla.org/thunderbird/release/0.9/; http://www.mozilla.org/products/thunderbird/,RESOLVED,DUPLICATE,unspecified,2004-11-04 12:14:25 -0800,2006-03-16 16:56:46 -0800
268944,P5,Preferences,280644.0,Set default pref in firefox.js for livemark refresh interval (livemark_refresh_seconds),Add the default pref so that it appears in about:config. See bug 259682.,VERIFIED,DUPLICATE,1.0 Branch,2004-11-10 11:29:37 -0800,2006-08-27 06:47:39 -0700
269841,P5,Tabbed Browser,566514.0,Also make previous history of originating tab available in tabs spawning from this tab,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0; ; When browsing; you build up a crumb-path of pages in the previous button.; However; when you ctrl+click on a link; the new link does open in a new tab; but; the items in the previous-section of the originating page are not taken allong; with the new tab.; Personally; I feel it would be very nive to have the pages that belong to the; previous-section of the originating tab are also available in tabs that spawn; from this originating page so that - when you have closed the originating tab -; you can still navigate to the page you were looking at in the originating tab; before the page on which you ctrl+clicked to open a new tab; ; Reproducible: Always; Steps to Reproduce:; n/a; Actual Results:  ; n/a; ; Expected Results:  ; see details...; ; See details...,RESOLVED,DUPLICATE,unspecified,2004-11-14 13:35:42 -0800,2013-02-14 11:12:02 -0800
269994,P5,Search,,Submitting a blank search string to the Dictionary.com search plugin doesnt navigate to the main page,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.0; en-GB; rv:1.7.5) Gecko/20041110 Firefox/1.0; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.0; en-GB; rv:1.7.5) Gecko/20041110 Firefox/1.0; ; All other selections in the listing when chosen and then ENTER is pressed; they; go to the website concerned.  With Dictionary.com - nothing happens.  So I then; type in www.dictionary.com and things work.; ; Reproducible: Always; Steps to Reproduce:; 1.Select Dictionary.com by using the down arrow in the Search engine selection box; 2.Press Enter; 3.Nothing happens.  Appears to need the link inserting somewhere.; ; Actual Results:  ; I remained on the URL page quote above which is; https://bugzilla.mozilla.org/enter_bug.cgi?product=Firefox&format=guided; ; Expected Results:  ; Visited website page http://www.dictionary.com; ; Cant think that anymore information is available to me.,VERIFIED,FIXED,Trunk,2004-11-15 08:39:44 -0800,2006-01-30 03:42:45 -0800
271022,P5,General,,JavaScript Console Error: Opening Non-Sidebar Windows in the Sidebar (searchBox has no properties),User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0; ; If a window from an extension (or from a browser window that cannot be opened; from the sidebar without a specific extension) is opened in the sidebar; an; error will show up in the JavaScript Console.  I have noticed this both in my; current profile; and in a new one.  You may need to set; javascript.options.showInConsole to true in about:config for this to show up.; ; The error is as follows:; ; Error: searchBox has no properties; Source File: chrome://browser/content/browser.js; Line: 3330; ; And the line is:; ; searchBox.focus();; ; Reproducible: Always; Steps to Reproduce:; 1. Install an extension which allows you to open up a window in the sidebar; (Download Manager Tweak; EMButtons; QuickNote; etc.).; 2. If not set up to do so by default; set up the extension to open up a window; in the sidebar.; 3. Open up the window affected by the extension; which should now open up in the; sidebar.; Actual Results:  ; The error mentioned above is generated in the JavaScript Console.; ; Expected Results:  ; The error mentioned above should not be generated at all.,RESOLVED,FIXED,Trunk,2004-11-20 16:45:16 -0800,2006-01-01 11:33:57 -0800
272876,P5,Bookmarks & History,,Inefficient code in updateAttribute function of the bookmark properties window,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0; ; If statements are redundant. Patch to follow.; ; Reproducible: Always; Steps to Reproduce:; 1. Take a look at the code at; http://lxr.mozilla.org/aviarybranch/source/browser/components/bookmarks/content/bookmarksProperties.js#348,RESOLVED,WONTFIX,2.0 Branch,2004-12-02 16:28:25 -0800,2009-01-21 07:17:31 -0800
273233,P5,Menus,,Inconsistent / hard to access keyboard shortcut for Save Link As... in context menus,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.2; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0; ; Load any website.; Right-click on any link.; The context menu that pops up; has the following:; ; Save Lin&k As... (&k meaning the letter k is underlined; signifying a; shortcut key).; ; This is rather difficult to hit; especially if the mouse is in the right hand;; as this would require either taking right hand off the mouse to press k on; keyboard; or pressing it with the left hand; by moving it off the normal typing; position.; ; The reason bug report says inconsistent is because in majority of; applications; on the File menu; the Save As... shortcut is triggered by the; a hotkey; such as Alt-F-A in order to File->Save As.... Firefox itself uses; the same hotkey for Save As... in the File menu.; ; ; ; Reproducible: Always; Steps to Reproduce:; 1. open www.mozilla.org; 2. right-click any link; 3. notice Save lin&k As... displayed; ; Actual Results:  ; To save the link; I had to take my right hand off the mouse and press the k key.; This was very difficult and wasted 0.5seconds of my time; ; ; Expected Results:  ; I wanted to see the context menu like this:; ; Save link &As...; which would require hitting a key in order to save as.; Since my other hand is already positioned on the left side of the keyboard;; right-clicking a link and pressing a to save it is easy.; ; I propose changing the default keyboard hotkey for Save Link As...; ; from k (currently); ; to a.; ; The menu would look like this:; Save Link &As...; where &A means underlined letter.,RESOLVED,WONTFIX,unspecified,2004-12-05 04:50:43 -0800,2013-02-27 16:31:18 -0800
274008,P5,Page Info Window,,Remove colon : from the title of the Page Info dialog (or make it unselectable),User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8a6) Gecko/20041207 Firefox/1.0+; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8a6) Gecko/20041207 Firefox/1.0+; ; Sometime back; Mozilla did not allow you to select (and copy) the text contained; in the Page Info dialog (and other dialogs).  However; now that the information; is selectable; it can be useful for copying pertinent data from a page.; ; In the case of the title contained in the Page Info dialog; there is an added; colon to the title.  It would be useful; for the purposes mentioned above to; remove this colon; so a clean copy of the title can be obtained a little easier.; ; The only problem I see in this is that the colon is useful to represent; information contained bellow similar to the following:; 1) info; 2) info; So Im not sure if it would be necessary to make a slight visual adjustment to; make up for removing this.; ; Reproducible: Always; Steps to Reproduce:,RESOLVED,WONTFIX,Trunk,2004-12-09 22:14:04 -0800,2005-02-11 20:43:57 -0800
274592,P5,Disability Access,12460.0,Image alt text should be selectable when image doesnt display,When the option Load images is turned off; and the alt text is displayed in; place of all images; this alt text should behave as if it were normal text; in; particular; it should be possible to select (and copy & paste) it or parts of it.,RESOLVED,DUPLICATE,unspecified,2004-12-14 06:09:50 -0800,2014-01-16 08:42:56 -0800
279687,P5,Tabbed Browser,,Should be able to open new tab by middle-clicking Go button,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0 StumbleUpon/1.999; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0 StumbleUpon/1.999; ; You should be able to open a new tab and going to the URL on the address bar and; pressing on the go button with the middle key on the mouse.; ; Reproducible: Always; ; Steps to Reproduce:; 1. type in url; 2. press middle key on go button; 3. nothing opens; ; Actual Results:  ; nothing opens; ; Expected Results:  ; opened a new webpage thats in the address bar in a new tab,RESOLVED,FIXED,2.0 Branch,2005-01-24 18:34:03 -0800,2010-08-16 17:12:55 -0700
280156,P5,Disability Access,,Menuitem description not exposed,a XUL menuitem can now have a description. This was done in bug 235872.; We should expose this in the accessible description of a menu item.; ; At the moment; the only place I see this used is in the non-native print dialog.,RESOLVED,FIXED,Trunk,2005-01-27 21:55:39 -0800,2006-04-19 08:12:46 -0700
280297,P5,Menus,,RFE: `Copy Frame Location on Frame Context Submenu,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8b) Gecko/20050125 Firefox/1.0+; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8b) Gecko/20050125 Firefox/1.0+; ; Also; see the related bug 185239 to add print this frame option (which I have; voted for).  Also; note the use of the same keyboard shortcuts (F & W) on; multiple items in the frame submenu.  Should that be filed seperately?; ; Reproducible: Always; ; Steps to Reproduce:; 1. Secondary click on a page within a frame with your pointing device.; 2. Select the `This Frame item.; 3. The submenu will appear.; Actual Results:  ; The submenu currently looks like this:; ; T_h_is Frame->Sho_w_ Only This Frame;               Open Frame in New _W_indow;               Open Frame in New _T_ab;               ------------------------;               _R_eload Frame;               ------------------------;               Bookmark This _F_rame...;               Save _F_rame As...;               ------------------------;               _V_iew Frame Source;               V_i_ew Frame Info; ; ; Expected Results:  ; T_h_is Frame->Sho_w_ Only This Frame;               Open Frame in New _W_indow;               Open Frame in New _T_ab;               ------------------------;               _R_eload Frame;               ------------------------;               Bookmark This _F_rame...;               Save _F_rame As...;               _C_opy Frame Location;               ------------------------;               _V_iew Frame Source;               V_i_ew Frame Info; ; (I have located the item at the end of the appropriate item category where `Copy; Link Location is on the link context menu.),RESOLVED,WONTFIX,unspecified,2005-01-28 20:23:03 -0800,2013-06-20 11:39:28 -0700
283851,P5,General,,javascript strict warnings in nsBrowserContentHandler.js,User-Agent:       Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8b2) Gecko/20050226 Firefox/1.0+; Build Identifier: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8b2) Gecko/20050226 Firefox/1.0+; ; http://lxr.mozilla.org/seamonkey/source/browser/components/nsBrowserContentHandler.js#172; and; http://lxr.mozilla.org/seamonkey/source/browser/components/nsBrowserContentHandler.js#306; ; Reproducible: Always; ; Steps to Reproduce:,RESOLVED,FIXED,Trunk,2005-02-26 12:43:48 -0800,2005-03-27 13:29:20 -0800
